20111013_120000,74.3966666667,68.4737113402
20111013_123000,74.4188888889,68.5932989691
20111013_130000,74.4844444444,68.7241237113
20111013_133000,74.5555555556,68.8521649485
20111013_140000,74.5977777778,68.9808247423
20111013_143000,74.7855555556,69.1189690722
20111013_150000,74.9788888889,69.2563917526
20111013_153000,75.0477777778,69.3939175258
20111013_160000,75.0477777778,69.5218556701
20111013_163000,75.1077777778,69.6327835052
20111013_170000,75.2333333333,69.7344329897
20111013_173000,75.25,69.8322680412
20111013_180000,75.2866666667,69.9288659794
20111013_183000,75.3455555556,70.0265979381
20111014_103000,75.3466666667,70.1315463918
20111014_110000,75.2511111111,70.226185567
20111014_113000,75.2144444444,70.3290721649
20111014_120000,75.3622222222,70.4412371134
20111014_123000,75.4922222222,70.5516494845
20111014_130000,75.6888888889,70.6743298969
20111014_133000,76.14,70.8154639175
20111014_140000,76.62,70.9563917526
20111014_143000,77.0277777778,71.0963917526
20111014_150000,77.3633333333,71.24
20111014_153000,77.8433333333,71.3756701031
20111014_160000,78.2466666667,71.5128865979
20111014_163000,78.5755555556,71.6386597938
20111014_170000,79.0122222222,71.7728865979
20111014_173000,79.3566666667,71.9027835052
20111014_180000,79.5133333333,72.032371134
20111014_183000,79.68,72.1701030928
20111017_103000,80.0555555556,72.3250515464
20111017_110000,80.4688888889,72.4874226804
20111017_113000,80.8422222222,72.6468041237
20111017_120000,81.3511111111,72.8196907216
20111017_123000,81.8733333333,72.9958762887
20111017_130000,82.1966666667,73.1629896907
20111017_133000,82.5166666667,73.324742268
20111017_140000,82.7355555556,73.4710309278
20111017_143000,82.78,73.6015463918
20111017_150000,82.7633333333,73.7451546392
20111017_153000,82.6544444444,73.8843298969
20111017_160000,82.6011111111,74.0256701031
20111017_163000,82.3188888889,74.1548453608
20111017_170000,81.8344444444,74.2836082474
20111017_173000,81.3877777778,74.4039175258
20111017_180000,80.8933333333,74.5212371134
20111017_183000,80.5288888889,74.6375257732
20111018_103000,80.2044444444,74.7435051546
20111018_110000,79.6844444444,74.8389690722
20111018_113000,79.1322222222,74.9221649485
20111018_120000,78.5888888889,75.0136082474
20111018_123000,78.0988888889,75.1011340206
20111018_130000,77.7455555556,75.1898969072
20111018_133000,77.47,75.2786597938
20111018_140000,77.2411111111,75.363814433
20111018_143000,77.03,75.4534020619
20111018_150000,76.9777777778,75.5386597938
20111018_153000,76.9566666667,75.6111340206
20111018_160000,77.0722222222,75.6837113402
20111018_163000,77.1622222222,75.7644329897
20111018_170000,77.3477777778,75.8445360825
20111018_173000,77.4366666667,75.9141237113
20111018_180000,77.52,75.9905154639
20111018_183000,77.6777777778,76.08
20111019_103000,78.0177777778,76.1878350515
20111019_110000,78.3144444444,76.2950515464
20111019_113000,78.6811111111,76.4036082474
20111019_120000,78.9266666667,76.5043298969
20111019_123000,79.1922222222,76.6077319588
20111019_130000,79.4477777778,76.7203092784
20111019_133000,79.8855555556,76.8401030928
20111019_140000,80.28,76.9593814433
20111019_143000,80.6311111111,77.0809278351
20111019_150000,80.7288888889,77.1946391753
20111019_153000,80.7544444444,77.3029896907
20111019_160000,80.77,77.4098969072
20111019_163000,80.8955555556,77.5211340206
20111019_170000,80.8922222222,77.6280412371
20111019_173000,80.7466666667,77.7220618557
20111019_180000,80.6477777778,77.8155670103
20111019_183000,80.6022222222,77.907628866
20111020_103000,80.3511111111,77.9816494845
20111020_110000,80.1,78.0528865979
20111020_113000,79.8966666667,78.1250515464
20111020_120000,79.7477777778,78.1980412371
20111020_123000,79.5055555556,78.2672164948
20111020_130000,79.3933333333,78.3342268041
20111020_133000,79.3844444444,78.3959793814
20111020_140000,79.25,78.4484536082
20111020_143000,79.08,78.5001030928
20111020_150000,79.0755555556,78.5528865979
20111020_153000,79.2944444444,78.6225773196
20111020_160000,79.6,78.6992783505
20111020_163000,79.87,78.7787628866
20111020_170000,80.0622222222,78.833814433
20111020_173000,80.2011111111,78.8879381443
20111020_180000,80.3611111111,78.9493814433
20111020_183000,80.5333333333,79.0157731959
20111021_103000,80.7877777778,79.0849484536
20111021_110000,81.08,79.1582474227
20111021_113000,81.15,79.2305154639
20111021_120000,81.0355555556,79.2791752577
20111021_123000,80.9088888889,79.3289690722
20111021_130000,80.9333333333,79.3798969072
20111021_133000,80.9422222222,79.4348453608
20111021_140000,80.9133333333,79.4880412371
20111021_143000,80.8533333333,79.5372164948
20111021_150000,80.8033333333,79.6002061856
20111021_153000,80.7166666667,79.6620618557
20111021_160000,80.6633333333,79.7239175258
20111021_163000,80.7055555556,79.7763917526
20111021_170000,80.7877777778,79.8426804124
20111021_173000,80.8822222222,79.9057731959
20111021_180000,81.0444444444,79.9620618557
20111021_183000,81.2,80.017628866
20111024_103000,81.6122222222,80.0868041237
20111024_110000,81.9266666667,80.1371134021
20111024_113000,82.2188888889,80.1815463918
20111024_120000,82.4866666667,80.2304123711
20111024_123000,82.72,80.2734020619
20111024_130000,82.9544444444,80.3169072165
20111024_133000,83.1355555556,80.3593814433
20111024_140000,83.2966666667,80.4001030928
20111024_143000,83.3733333333,80.4222680412
20111024_150000,83.2522222222,80.4482474227
20111024_153000,83.1777777778,80.4771134021
20111024_160000,83.1422222222,80.5027835052
20111024_163000,83.1577777778,80.5182474227
20111024_170000,83.2077777778,80.5275257732
20111024_173000,83.26,80.5412371134
20111024_180000,83.3922222222,80.5487628866
20111024_183000,83.4866666667,80.5497938144
20111025_103000,83.5677777778,80.5494845361
20111025_110000,83.6277777778,80.5513402062
20111025_113000,83.6655555556,80.5634020619
20111025_120000,83.6966666667,80.5878350515
20111025_123000,83.6688888889,80.6022680412
20111025_130000,83.6711111111,80.6218556701
20111025_133000,83.6477777778,80.6383505155
20111025_140000,83.5533333333,80.6632989691
20111025_143000,83.4655555556,80.7011340206
20111025_150000,83.4733333333,80.7429896907
20111025_153000,83.4655555556,80.79
20111025_160000,83.4066666667,80.8304123711
20111025_163000,83.2622222222,80.8715463918
20111025_170000,83.1266666667,80.9216494845
20111025_173000,82.9266666667,80.9739175258
20111025_180000,82.7844444444,81.027628866
20111025_183000,82.62,81.0827835052
20111026_103000,82.5177777778,81.1439175258
20111026_110000,82.3933333333,81.1997938144
20111026_113000,82.2944444444,81.2588659794
20111026_120000,82.23,81.3128865979
20111026_123000,82.2811111111,81.3636082474
20111026_130000,82.4266666667,81.4291752577
20111026_133000,82.68,81.4942268041
20111026_140000,82.8077777778,81.551443299
20111026_143000,82.9777777778,81.6051546392
20111026_150000,83.0966666667,81.6690721649
20111026_153000,83.2177777778,81.7284536082
20111026_160000,83.3755555556,81.7875257732
20111026_163000,83.5411111111,81.8253608247
